"file","group","final_k","sa_reheat_escapes","sa_reheat_pulses_triggered","sa_iters"
"ab_input2_off_seed101_20260625.log","OFF","72","0","0","664158"
"ab_input2_off_seed102_20260625.log","OFF","74","0","0","629622"
"ab_input2_off_seed103_20260625.log","OFF","77","0","0","1369698"
"ab_input2_off_seed104_20260625.log","OFF","74","0","0","1309124"
"ab_input2_off_seed105_20260625.log","OFF","72","0","0","638427"
"ab_input2_on_seed101_20260625.log","ON","73","2","13","588356"
"ab_input2_on_seed102_20260625.log","ON","75","2","12","588609"
"ab_input2_on_seed103_20260625.log","ON","72","2","28","1378845"
"ab_input2_on_seed104_20260625.log","ON","73","2","12","577048"
"ab_input2_on_seed105_20260625.log","ON","75","4","12","612130"
