"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9420 final_sa_budget_ms=5299 final_polish_budget_ms=250 planned_total_ms=22468 || [PIPELINE][summary] input 0 initial_fdl_ms=22 final_lahc_ms=9420 final_sa_ms=5299 final_polish_ms=77 final_k=4 final_crossings=145 final_lp=5242 saturated=0 budget_share_fdl=0.00148468 budget_share_lahc=0.635713 budget_share_sa=0.357606 budget_share_polish=0.00519638"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7496 final_lahc_budget_ms=8479 final_sa_budget_ms=4770 final_polish_budget_ms=250 planned_total_ms=20995 || [PIPELINE][summary] input 0 initial_fdl_ms=1067 final_lahc_ms=8479 final_sa_ms=4769 final_polish_ms=263 final_k=157 final_crossings=50324 final_lp=668813441 saturated=0 budget_share_fdl=0.0731925 budget_share_lahc=0.58163 budget_share_sa=0.327137 budget_share_polish=0.0180409"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8538 final_sa_budget_ms=4804 final_polish_budget_ms=0 planned_total_ms=14342 || [PIPELINE][summary] input 0 initial_fdl_ms=1633 final_lahc_ms=8542 final_sa_ms=4801 final_polish_ms=0 final_k=9829 final_crossings=43814621 final_lp=145652933578880 saturated=0 budget_share_fdl=0.109041 budget_share_lahc=0.570379 budget_share_sa=0.32058 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9416 final_sa_budget_ms=5297 final_polish_budget_ms=250 planned_total_ms=22462 || [PIPELINE][summary] input 0 initial_fdl_ms=28 final_lahc_ms=9416 final_sa_ms=5296 final_polish_ms=84 final_k=5 final_crossings=166 final_lp=8874 saturated=0 budget_share_fdl=0.00188883 budget_share_lahc=0.635186 budget_share_sa=0.357258 budget_share_polish=0.00566649"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9179 final_sa_budget_ms=5164 final_polish_budget_ms=250 planned_total_ms=22091 || [PIPELINE][summary] input 0 initial_fdl_ms=243 final_lahc_ms=9179 final_sa_ms=5164 final_polish_ms=299 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.0163252 budget_share_lahc=0.616661 budget_share_sa=0.346926 budget_share_polish=0.0200873"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=34455 final_sa_budget_ms=19381 final_polish_budget_ms=0 planned_total_ms=54836 || [PIPELINE][summary] input 0 initial_fdl_ms=1136 final_lahc_ms=34457 final_sa_ms=19379 final_polish_ms=0 final_k=8587 final_crossings=34637688 final_lp=61005154531860 saturated=0 budget_share_fdl=0.0206651 budget_share_lahc=0.62681 budget_share_sa=0.352525 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35022 final_sa_budget_ms=19700 final_polish_budget_ms=250 planned_total_ms=82471 || [PIPELINE][summary] input 0 initial_fdl_ms=21 final_lahc_ms=35022 final_sa_ms=19700 final_polish_ms=95 final_k=7 final_crossings=123 final_lp=5600 saturated=0 budget_share_fdl=0.000382946 budget_share_lahc=0.638645 budget_share_sa=0.35924 budget_share_polish=0.00173238"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27497 final_lahc_budget_ms=34472 final_sa_budget_ms=19391 final_polish_budget_ms=250 planned_total_ms=81610 || [PIPELINE][summary] input 0 initial_fdl_ms=618 final_lahc_ms=34472 final_sa_ms=19391 final_polish_ms=419 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.0112568 budget_share_lahc=0.627905 budget_share_sa=0.353206 budget_share_polish=0.00763206"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=34437 final_sa_budget_ms=19372 final_polish_budget_ms=0 planned_total_ms=54809 || [PIPELINE][summary] input 0 initial_fdl_ms=1170 final_lahc_ms=34438 final_sa_ms=19377 final_polish_ms=0 final_k=9357 final_crossings=39821141 final_lp=103242439821541 saturated=0 budget_share_fdl=0.0212785 budget_share_lahc=0.626316 budget_share_sa=0.352405 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35030 final_sa_budget_ms=19705 final_polish_budget_ms=250 planned_total_ms=82484 || [PIPELINE][summary] input 0 initial_fdl_ms=10 final_lahc_ms=35030 final_sa_ms=19704 final_polish_ms=186 final_k=4 final_crossings=132 final_lp=3620 saturated=0 budget_share_fdl=0.00018205 budget_share_lahc=0.637721 budget_share_sa=0.358711 budget_share_polish=0.00338613"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=60000 final_lahc_budget_ms=188304 final_sa_budget_ms=105921 final_polish_budget_ms=250 planned_total_ms=354475 || [PIPELINE][summary] input 0 initial_fdl_ms=352 final_lahc_ms=188304 final_sa_ms=105921 final_polish_ms=323 final_k=143 final_crossings=46770 final_lp=568490953 saturated=0 budget_share_fdl=0.00119362 budget_share_lahc=0.638535 budget_share_sa=0.359176 budget_share_polish=0.00109529"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=188067 final_sa_budget_ms=105788 final_polish_budget_ms=0 planned_total_ms=294855 || [PIPELINE][summary] input 0 initial_fdl_ms=1116 final_lahc_ms=188068 final_sa_ms=105787 final_polish_ms=0 final_k=8784 final_crossings=36363441 final_lp=73769369061949 saturated=0 budget_share_fdl=0.00378342 budget_share_lahc=0.637581 budget_share_sa=0.358635 budget_share_polish=0"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=30000 final_lahc_budget_ms=188616 final_sa_budget_ms=106098 final_polish_budget_ms=250 planned_total_ms=324964 || [PIPELINE][summary] input 0 initial_fdl_ms=26 final_lahc_ms=188616 final_sa_ms=106098 final_polish_ms=49 final_k=4 final_crossings=110 final_lp=2494 saturated=0 budget_share_fdl=8.81987e-05 budget_share_lahc=0.639834 budget_share_sa=0.359912 budget_share_polish=0.000166221"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=60000 final_lahc_budget_ms=188027 final_sa_budget_ms=105766 final_polish_budget_ms=250 planned_total_ms=354043 || [PIPELINE][summary] input 0 initial_fdl_ms=680 final_lahc_ms=188027 final_sa_ms=105766 final_polish_ms=261 final_k=148 final_crossings=45457 final_lp=540653754 saturated=0 budget_share_fdl=0.00230717 budget_share_lahc=0.637955 budget_share_sa=0.358852 budget_share_polish=0.000885544"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=188080 final_sa_budget_ms=105796 final_polish_budget_ms=0 planned_total_ms=294876 || [PIPELINE][summary] input 0 initial_fdl_ms=1095 final_lahc_ms=188080 final_sa_ms=105796 final_polish_ms=0 final_k=8587 final_crossings=34620114 final_lp=60910777490244 saturated=0 budget_share_fdl=0.00371223 budget_share_lahc=0.637622 budget_share_sa=0.358666 budget_share_polish=0"
