"Graph","BudgetMs","Seed","BaselineK","AblatedK","PairedDeltaK","RemainingBeforePolishMs","Starved"
"Automatic-8","20000","1337","8587","9357","770","0","True"
"Automatic-8","20000","4242","8302","8786","484","0","True"
"Automatic-8","20000","7201","8302","8055","-247","0","True"
"Automatic-8","20000","9109","8055","8055","0","0","True"
"Automatic-8","20000","11047","8055","8055","0","0","True"
"Automatic-8","20000","13003","8302","8587","285","0","True"
"Automatic-8","20000","15427","9512","8302","-1210","0","True"
"Automatic-9","20000","1337","860","865","5","0","True"
"Automatic-9","20000","4242","871","868","-3","0","True"
"Automatic-9","20000","7201","873","901","28","0","True"
"Automatic-9","20000","9109","876","861","-15","0","True"
"Automatic-9","20000","11047","885","887","2","0","True"
"Automatic-9","20000","13003","861","881","20","0","True"
"Automatic-9","20000","15427","874","825","-49","0","True"
"Automatic-8","60000","1337","8587","8302","-285","0","True"
"Automatic-8","60000","4242","8587","8302","-285","0","True"
"Automatic-8","60000","7201","8302","8302","0","0","True"
"Automatic-8","60000","9109","8055","8587","532","0","True"
"Automatic-8","60000","11047","8055","8055","0","0","True"
"Automatic-8","60000","13003","8055","8302","247","0","True"
"Automatic-8","60000","15427","8055","8055","0","0","True"
"Automatic-9","60000","1337","862","862","0","0","True"
"Automatic-9","60000","4242","842","842","0","0","True"
"Automatic-9","60000","7201","855","855","0","0","True"
"Automatic-9","60000","9109","853","846","-7","0","True"
"Automatic-9","60000","11047","852","852","0","0","True"
"Automatic-9","60000","13003","871","871","0","0","True"
"Automatic-9","60000","15427","836","832","-4","0","True"
