"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9432 final_sa_budget_ms=5307 final_polish_budget_ms=250 planned_total_ms=22488 || [PIPELINE][summary] input 0 initial_fdl_ms=6 final_lahc_ms=9432 final_sa_ms=5307 final_polish_ms=63 final_k=9 final_crossings=447 final_lp=277948 saturated=0 budget_share_fdl=0.000405186 budget_share_lahc=0.636953 budget_share_sa=0.358387 budget_share_polish=0.00425446"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9425 final_sa_budget_ms=5303 final_polish_budget_ms=250 planned_total_ms=22476 || [PIPELINE][summary] input 0 initial_fdl_ms=14 final_lahc_ms=9425 final_sa_ms=5303 final_polish_ms=78 final_k=4 final_crossings=129 final_lp=4054 saturated=0 budget_share_fdl=0.000944669 budget_share_lahc=0.635965 budget_share_sa=0.357827 budget_share_polish=0.00526316"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9424 final_sa_budget_ms=5301 final_polish_budget_ms=250 planned_total_ms=22473 || [PIPELINE][summary] input 0 initial_fdl_ms=13 final_lahc_ms=9424 final_sa_ms=5301 final_polish_ms=252 final_k=97 final_crossings=6437 final_lp=1927751762 saturated=0 budget_share_fdl=0.000867245 budget_share_lahc=0.628686 budget_share_sa=0.353636 budget_share_polish=0.0168112"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9391 final_sa_budget_ms=5283 final_polish_budget_ms=250 planned_total_ms=22422 || [PIPELINE][summary] input 0 initial_fdl_ms=59 final_lahc_ms=9391 final_sa_ms=5283 final_polish_ms=251 final_k=12 final_crossings=1057 final_lp=938806 saturated=0 budget_share_fdl=0.00393753 budget_share_lahc=0.626735 budget_share_sa=0.352576 budget_share_polish=0.0167512"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7496 final_lahc_budget_ms=9125 final_sa_budget_ms=5133 final_polish_budget_ms=250 planned_total_ms=22004 || [PIPELINE][summary] input 0 initial_fdl_ms=306 final_lahc_ms=9125 final_sa_ms=5133 final_polish_ms=305 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.0205797 budget_share_lahc=0.613693 budget_share_sa=0.345215 budget_share_polish=0.0205125"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=8965 final_sa_budget_ms=5044 final_polish_budget_ms=0 planned_total_ms=21506 || [PIPELINE][summary] input 0 initial_fdl_ms=496 final_lahc_ms=8965 final_sa_ms=5045 final_polish_ms=0 final_k=1201 final_crossings=689653 final_lp=5909163759913 saturated=0 budget_share_fdl=0.0341927 budget_share_lahc=0.61802 budget_share_sa=0.347787 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7494 final_lahc_budget_ms=9086 final_sa_budget_ms=5111 final_polish_budget_ms=250 planned_total_ms=21941 || [PIPELINE][summary] input 0 initial_fdl_ms=415 final_lahc_ms=9086 final_sa_ms=5111 final_polish_ms=269 final_k=138 final_crossings=27627 final_lp=1376188643 saturated=0 budget_share_fdl=0.0278879 budget_share_lahc=0.610577 budget_share_sa=0.343458 budget_share_polish=0.0180767"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8090 final_sa_budget_ms=4552 final_polish_budget_ms=0 planned_total_ms=13642 || [PIPELINE][summary] input 0 initial_fdl_ms=1272 final_lahc_ms=8090 final_sa_ms=4552 final_polish_ms=0 final_k=883 final_crossings=504039 final_lp=82000323068 saturated=0 budget_share_fdl=0.0914187 budget_share_lahc=0.581429 budget_share_sa=0.327153 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9434 final_sa_budget_ms=5307 final_polish_budget_ms=250 planned_total_ms=22490 || [PIPELINE][summary] input 0 initial_fdl_ms=4 final_lahc_ms=9434 final_sa_ms=5307 final_polish_ms=86 final_k=11 final_crossings=460 final_lp=387088 saturated=0 budget_share_fdl=0.000269705 budget_share_lahc=0.6361 budget_share_sa=0.357832 budget_share_polish=0.00579866"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9421 final_sa_budget_ms=5300 final_polish_budget_ms=250 planned_total_ms=22469 || [PIPELINE][summary] input 0 initial_fdl_ms=22 final_lahc_ms=9423 final_sa_ms=5297 final_polish_ms=140 final_k=5 final_crossings=177 final_lp=10120 saturated=0 budget_share_fdl=0.0014783 budget_share_lahc=0.633181 budget_share_sa=0.355933 budget_share_polish=0.00940734"
