"Graph","BudgetMs","Seed","BaselineFinalK","NoPolishFinalK","DeltaK","Status","BaselineExitCode","NoPolishExitCode"
"Automatic-1","20000","1337","9","10","1","Polish_Beneficial","0","0"
"Automatic-4","20000","4242","14","14","0","Neutral","0","0"
"Automatic-7","20000","7201","117","117","0","Neutral","0","0"
"Automatic-1","20000","11047","12","14","2","Polish_Beneficial","0","0"
"Automatic-4","20000","13003","17","14","-3","Polish_Harmful","0","0"
"Automatic-7","20000","15427","129","125","-4","Polish_Harmful","0","0"
"Automatic-1","60000","4242","10","10","0","Neutral","0","0"
"Automatic-4","60000","7201","9","11","2","Polish_Beneficial","0","0"
"Automatic-7","60000","9109","102","114","12","Polish_Beneficial","0","0"
"Automatic-1","60000","13003","11","10","-1","Polish_Harmful","0","0"
"Automatic-4","60000","15427","10","13","3","Polish_Beneficial","0","0"
"Automatic-7","300000","1337","75","62","-13","Polish_Harmful","0","0"
"Automatic-1","300000","7201","11","10","-1","Polish_Harmful","0","0"
"Automatic-4","300000","9109","10","9","-1","Polish_Harmful","0","0"
"Automatic-7","300000","11047","92","81","-11","Polish_Harmful","0","0"
"Automatic-1","300000","15427","10","10","0","Neutral","0","0"
"Automatic-2","20000","1337","4","4","0","Neutral","0","0"
"Automatic-5","20000","4242","161","161","0","Neutral","0","0"
"Automatic-8","20000","7201","9829","9829","0","Neutral","0","0"
"Automatic-2","20000","11047","5","5","0","Neutral","0","0"
"Automatic-5","20000","13003","161","161","0","Neutral","0","0"
"Automatic-8","20000","15427","9512","8866","-646","Polish_Harmful","0","0"
"Automatic-2","60000","4242","4","4","0","Neutral","0","0"
"Automatic-5","60000","7201","161","161","0","Neutral","0","0"
"Automatic-8","60000","9109","8866","10021","1155","Polish_Beneficial","0","0"
"Automatic-2","60000","13003","4","4","0","Neutral","0","0"
"Automatic-5","60000","15427","161","161","0","Neutral","0","0"
"Automatic-8","300000","1337","8786","8782","-4","Polish_Harmful","0","0"
"Automatic-2","300000","7201","4","4","0","Neutral","0","0"
"Automatic-5","300000","9109","161","161","0","Neutral","0","0"
"Automatic-8","300000","11047","9690","10021","331","Polish_Beneficial","0","0"
"Automatic-2","300000","15427","4","4","0","Neutral","0","0"
"Automatic-3","20000","1337","97","81","-16","Polish_Harmful","0","0"
"Automatic-6","20000","4242","1198","1192","-6","Polish_Harmful","0","0"
"Automatic-9","20000","7201","883","917","34","Polish_Beneficial","0","0"
"Automatic-3","20000","11047","112","112","0","Neutral","0","0"
"Automatic-6","20000","13003","1192","1189","-3","Polish_Harmful","0","0"
"Automatic-9","20000","15427","902","844","-58","Polish_Harmful","0","0"
"Automatic-3","60000","4242","91","87","-4","Polish_Harmful","0","0"
"Automatic-6","60000","7201","1221","1211","-10","Polish_Harmful","0","0"
"Automatic-9","60000","9109","836","836","0","Neutral","0","0"
"Automatic-3","60000","13003","81","85","4","Polish_Beneficial","0","0"
"Automatic-6","60000","15427","1216","1221","5","Polish_Beneficial","0","0"
"Automatic-9","300000","1337","845","849","4","Polish_Beneficial","0","0"
"Automatic-3","300000","7201","73","77","4","Polish_Beneficial","0","0"
"Automatic-6","300000","9109","1221","1221","0","Neutral","0","0"
"Automatic-9","300000","11047","912","798","-114","Polish_Harmful","0","0"
"Automatic-3","300000","15427","78","88","10","Polish_Beneficial","0","0"
"Automatic-4","20000","1337","12","10","-2","Polish_Harmful","0","0"
"Automatic-7","20000","4242","119","134","15","Polish_Beneficial","0","0"
"Automatic-1","20000","9109","11","12","1","Polish_Beneficial","0","0"
"Automatic-4","20000","11047","16","15","-1","Polish_Harmful","0","0"
"Automatic-7","20000","13003","122","123","1","Polish_Beneficial","0","0"
"Automatic-1","60000","1337","10","11","1","Polish_Beneficial","0","0"
"Automatic-4","60000","4242","12","10","-2","Polish_Harmful","0","0"
"Automatic-7","60000","7201","115","117","2","Polish_Beneficial","0","0"
"Automatic-1","60000","11047","10","10","0","Neutral","0","0"
"Automatic-4","60000","13003","12","10","-2","Polish_Harmful","0","0"
"Automatic-7","60000","15427","114","97","-17","Polish_Harmful","0","0"
"Automatic-1","300000","4242","9","10","1","Polish_Beneficial","0","0"
"Automatic-4","300000","7201","9","7","-2","Polish_Harmful","0","0"
"Automatic-7","300000","9109","75","66","-9","Polish_Harmful","0","0"
"Automatic-1","300000","13003","10","10","0","Neutral","0","0"
"Automatic-4","300000","15427","8","9","1","Polish_Beneficial","0","0"
"Automatic-5","20000","1337","161","161","0","Neutral","0","0"
"Automatic-8","20000","4242","9690","9512","-178","Polish_Harmful","0","0"
"Automatic-2","20000","9109","4","4","0","Neutral","0","0"
"Automatic-5","20000","11047","161","161","0","Neutral","0","0"
"Automatic-8","20000","13003","9829","8866","-963","Polish_Harmful","0","0"
"Automatic-2","60000","1337","4","5","1","Polish_Beneficial","0","0"
"Automatic-5","60000","4242","161","161","0","Neutral","0","0"
"Automatic-8","60000","7201","8866","10133","1267","Polish_Beneficial","0","0"
"Automatic-2","60000","11047","4","4","0","Neutral","0","0"
"Automatic-5","60000","13003","161","161","0","Neutral","0","0"
"Automatic-8","60000","15427","9357","9357","0","Neutral","0","0"
"Automatic-2","300000","4242","4","4","0","Neutral","0","0"
"Automatic-5","300000","7201","152","135","-17","Polish_Harmful","0","0"
"Automatic-8","300000","9109","9512","8585","-927","Polish_Harmful","0","0"
"Automatic-2","300000","13003","4","4","0","Neutral","0","0"
"Automatic-5","300000","15427","161","138","-23","Polish_Harmful","0","0"
"Automatic-6","20000","1337","1201","1203","2","Polish_Beneficial","0","0"
"Automatic-9","20000","4242","832","912","80","Polish_Beneficial","0","0"
"Automatic-3","20000","9109","96","94","-2","Polish_Harmful","0","0"
"Automatic-6","20000","11047","1192","1192","0","Neutral","0","0"
"Automatic-9","20000","13003","925","909","-16","Polish_Harmful","0","0"
"Automatic-3","60000","1337","83","85","2","Polish_Beneficial","0","0"
"Automatic-6","60000","4242","1221","1221","0","Neutral","0","0"
"Automatic-9","60000","7201","911","852","-59","Polish_Harmful","0","0"
"Automatic-3","60000","11047","90","83","-7","Polish_Harmful","0","0"
"Automatic-6","60000","13003","1206","1212","6","Polish_Beneficial","0","0"
"Automatic-9","60000","15427","863","892","29","Polish_Beneficial","0","0"
"Automatic-3","300000","4242","72","79","7","Polish_Beneficial","0","0"
"Automatic-6","300000","7201","1221","1221","0","Neutral","0","0"
"Automatic-9","300000","9109","831","822","-9","Polish_Harmful","0","0"
"Automatic-3","300000","13003","79","76","-3","Polish_Harmful","0","0"
"Automatic-6","300000","15427","1203","1202","-1","Polish_Harmful","0","0"
"Automatic-7","20000","1337","138","138","0","Neutral","0","0"
"Automatic-1","20000","7201","10","12","2","Polish_Beneficial","0","0"
"Automatic-4","20000","9109","14","13","-1","Polish_Harmful","0","0"
"Automatic-7","20000","11047","121","118","-3","Polish_Harmful","0","0"
"Automatic-1","20000","15427","13","12","-1","Polish_Harmful","0","0"
"Automatic-4","60000","1337","13","14","1","Polish_Beneficial","0","0"
"Automatic-7","60000","4242","106","101","-5","Polish_Harmful","0","0"
"Automatic-1","60000","9109","9","9","0","Neutral","0","0"
"Automatic-4","60000","11047","12","11","-1","Polish_Harmful","0","0"
"Automatic-7","60000","13003","101","96","-5","Polish_Harmful","0","0"
"Automatic-1","300000","1337","9","9","0","Neutral","0","0"
"Automatic-4","300000","4242","9","8","-1","Polish_Harmful","0","0"
"Automatic-7","300000","7201","63","59","-4","Polish_Harmful","0","0"
"Automatic-1","300000","11047","11","9","-2","Polish_Harmful","0","0"
"Automatic-4","300000","13003","10","8","-2","Polish_Harmful","0","0"
"Automatic-7","300000","15427","52","61","9","Polish_Beneficial","0","0"
"Automatic-8","20000","1337","9829","9829","0","Neutral","0","0"
"Automatic-2","20000","7201","5","5","0","Neutral","0","0"
"Automatic-5","20000","9109","158","159","1","Polish_Beneficial","0","0"
"Automatic-8","20000","11047","8786","9357","571","Polish_Beneficial","0","0"
"Automatic-2","20000","15427","4","4","0","Neutral","0","0"
"Automatic-5","60000","1337","161","161","0","Neutral","0","0"
