"LogFile","Graph","BudgetMs","Seed","InputIndex","RemainingBeforePolishMs","ReservedBudgetMs","PlannedBudgetMs","PolishElapsedMs","ImprovedFlag","PreK","PostK","DeltaK","PreCrossings","PostCrossings","DeltaCrossings","PreLp","PostLp","DeltaLp","Verdict"
"Automatic-8_20000_seed11047.log","Automatic-8","20000","11047","0","0","0","0","0","0","8302","8302","0","32810904","32810904","0","49695363115182","49695363115182","0","TimeStarved"
"Automatic-8_20000_seed13003.log","Automatic-8","20000","13003","0","0","0","0","0","0","8302","8302","0","32810904","32810904","0","49695363115182","49695363115182","0","TimeStarved"
"Automatic-8_20000_seed1337.log","Automatic-8","20000","1337","0","0","0","0","0","0","9829","9829","0","43814621","43814621","0","145652933578880","145652933578880","0","TimeStarved"
"Automatic-8_20000_seed15427.log","Automatic-8","20000","15427","0","0","0","0","0","0","8587","8587","0","34637688","34637688","0","61005154531860","61005154531860","0","TimeStarved"
"Automatic-8_20000_seed4242.log","Automatic-8","20000","4242","0","0","0","0","0","0","9829","9829","0","43814621","43814621","0","145652933578880","145652933578880","0","TimeStarved"
"Automatic-8_20000_seed7201.log","Automatic-8","20000","7201","0","0","0","0","0","0","8786","8786","0","36365231","36365231","0","73803989987578","73803989987578","0","TimeStarved"
"Automatic-8_20000_seed9109.log","Automatic-8","20000","9109","0","0","0","0","0","0","8587","8587","0","34637688","34637688","0","61005154531860","61005154531860","0","TimeStarved"
"Automatic-8_60000_seed11047.log","Automatic-8","60000","11047","0","0","0","0","0","0","8786","8786","0","36365231","36365231","0","73803989987578","73803989987578","0","TimeStarved"
"Automatic-8_60000_seed13003.log","Automatic-8","60000","13003","0","0","0","0","0","0","8866","8866","0","38349870","38349870","0","89238613852596","89238613852596","0","TimeStarved"
"Automatic-8_60000_seed1337.log","Automatic-8","60000","1337","0","0","0","0","0","0","8786","8786","0","36365231","36365231","0","73803989987578","73803989987578","0","TimeStarved"
"Automatic-8_60000_seed15427.log","Automatic-8","60000","15427","0","0","0","0","0","0","8302","8302","0","32810904","32810904","0","49695363115182","49695363115182","0","TimeStarved"
"Automatic-8_60000_seed4242.log","Automatic-8","60000","4242","0","0","0","0","0","0","7826","7826","0","29304528","29304528","0","33277763025495","33277763025495","0","TimeStarved"
"Automatic-8_60000_seed7201.log","Automatic-8","60000","7201","0","0","0","0","0","0","8055","8055","0","30698986","30698986","0","39717163311886","39717163311886","0","TimeStarved"
"Automatic-8_60000_seed9109.log","Automatic-8","60000","9109","0","0","0","0","0","0","8055","8055","0","30698986","30698986","0","39717163311886","39717163311886","0","TimeStarved"
"Automatic-9_20000_seed11047.log","Automatic-9","20000","11047","0","0","0","0","0","0","857","857","0","503279","503279","0","79446422180","79446422180","0","TimeStarved"
"Automatic-9_20000_seed13003.log","Automatic-9","20000","13003","0","0","0","0","0","0","895","895","0","506985","506985","0","84981982350","84981982350","0","TimeStarved"
"Automatic-9_20000_seed1337.log","Automatic-9","20000","1337","0","0","0","0","0","0","924","924","0","514855","514855","0","87574408979","87574408979","0","TimeStarved"
"Automatic-9_20000_seed15427.log","Automatic-9","20000","15427","0","0","0","0","0","0","846","846","0","486410","486410","0","75455733238","75455733238","0","TimeStarved"
"Automatic-9_20000_seed4242.log","Automatic-9","20000","4242","0","0","0","0","0","0","941","941","0","506561","506561","0","84833449651","84833449651","0","TimeStarved"
"Automatic-9_20000_seed7201.log","Automatic-9","20000","7201","0","0","0","0","0","0","868","868","0","508034","508034","0","81297333731","81297333731","0","TimeStarved"
"Automatic-9_20000_seed9109.log","Automatic-9","20000","9109","0","0","0","0","0","0","863","863","0","488976","488976","0","71076121919","71076121919","0","TimeStarved"
"Automatic-9_60000_seed11047.log","Automatic-9","60000","11047","0","0","0","0","0","0","855","855","0","489784","489784","0","71893948383","71893948383","0","TimeStarved"
"Automatic-9_60000_seed13003.log","Automatic-9","60000","13003","0","0","0","0","0","0","859","859","0","484734","484734","0","70819923090","70819923090","0","TimeStarved"
"Automatic-9_60000_seed1337.log","Automatic-9","60000","1337","0","0","0","0","0","0","943","943","0","499731","499731","0","82321074668","82321074668","0","TimeStarved"
"Automatic-9_60000_seed15427.log","Automatic-9","60000","15427","0","0","0","0","0","0","822","822","0","489995","489995","0","68841574891","68841574891","0","TimeStarved"
"Automatic-9_60000_seed4242.log","Automatic-9","60000","4242","0","0","0","0","0","0","838","838","0","488244","488244","0","70985563275","70985563275","0","TimeStarved"
"Automatic-9_60000_seed7201.log","Automatic-9","60000","7201","0","0","0","0","0","0","846","846","0","491657","491657","0","74773359512","74773359512","0","TimeStarved"
"Automatic-9_60000_seed9109.log","Automatic-9","60000","9109","0","0","0","0","0","0","880","880","0","497841","497841","0","79859225818","79859225818","0","TimeStarved"
