"LogFile","Graph","BudgetMs","Seed","InputIndex","RemainingBeforePolishMs","ReservedBudgetMs","PlannedBudgetMs","PolishElapsedMs","ImprovedFlag","PreK","PostK","DeltaK","PreCrossings","PostCrossings","DeltaCrossings","PreLp","PostLp","DeltaLp","Verdict"
"Automatic-8_20000_seed11047.log","Automatic-8","20000","11047","0","0","0","0","0","0","8302","8302","0","32810904","32810904","0","49695363115182","49695363115182","0","TimeStarved"
"Automatic-8_20000_seed13003.log","Automatic-8","20000","13003","0","0","0","0","0","0","8302","8302","0","32810904","32810904","0","49695363115182","49695363115182","0","TimeStarved"
"Automatic-8_20000_seed1337.log","Automatic-8","20000","1337","0","0","0","0","0","0","9829","9829","0","43814621","43814621","0","145652933578880","145652933578880","0","TimeStarved"
"Automatic-8_20000_seed15427.log","Automatic-8","20000","15427","0","0","0","0","0","0","8587","8587","0","34637688","34637688","0","61005154531860","61005154531860","0","TimeStarved"
"Automatic-8_20000_seed4242.log","Automatic-8","20000","4242","0","0","0","0","0","0","9829","9829","0","43814621","43814621","0","145652933578880","145652933578880","0","TimeStarved"
"Automatic-8_20000_seed7201.log","Automatic-8","20000","7201","0","0","0","0","0","0","8786","8786","0","36365231","36365231","0","73803989987578","73803989987578","0","TimeStarved"
"Automatic-8_20000_seed9109.log","Automatic-8","20000","9109","0","0","0","0","0","0","8587","8587","0","34637688","34637688","0","61005154531860","61005154531860","0","TimeStarved"
"Automatic-8_60000_seed11047.log","Automatic-8","60000","11047","0","0","0","0","0","0","8587","8587","0","34637688","34637688","0","61005154531860","61005154531860","0","TimeStarved"
"Automatic-8_60000_seed13003.log","Automatic-8","60000","13003","0","0","0","0","0","0","9357","9357","0","39821141","39821141","0","103242439821541","103242439821541","0","TimeStarved"
"Automatic-8_60000_seed1337.log","Automatic-8","60000","1337","0","0","0","0","0","0","9357","9357","0","39821141","39821141","0","103242439821541","103242439821541","0","TimeStarved"
"Automatic-8_60000_seed15427.log","Automatic-8","60000","15427","0","0","0","0","0","0","8866","8866","0","38349870","38349870","0","89238613852596","89238613852596","0","TimeStarved"
"Automatic-8_60000_seed4242.log","Automatic-8","60000","4242","0","0","0","0","0","0","8055","8055","0","30698986","30698986","0","39717163311886","39717163311886","0","TimeStarved"
"Automatic-8_60000_seed7201.log","Automatic-8","60000","7201","0","0","0","0","0","0","8055","8055","0","30698986","30698986","0","39717163311886","39717163311886","0","TimeStarved"
"Automatic-8_60000_seed9109.log","Automatic-8","60000","9109","0","0","0","0","0","0","8055","8055","0","30698986","30698986","0","39717163311886","39717163311886","0","TimeStarved"
"Automatic-9_20000_seed11047.log","Automatic-9","20000","11047","0","0","0","0","0","0","909","909","0","499750","499750","0","78615530986","78615530986","0","TimeStarved"
"Automatic-9_20000_seed13003.log","Automatic-9","20000","13003","0","0","0","0","0","0","895","895","0","506941","506941","0","84966072713","84966072713","0","TimeStarved"
"Automatic-9_20000_seed1337.log","Automatic-9","20000","1337","0","0","0","0","0","0","911","911","0","507861","507861","0","86528848938","86528848938","0","TimeStarved"
"Automatic-9_20000_seed15427.log","Automatic-9","20000","15427","0","0","0","0","0","0","844","844","0","495240","495240","0","75037406281","75037406281","0","TimeStarved"
"Automatic-9_20000_seed4242.log","Automatic-9","20000","4242","0","0","0","0","0","0","941","941","0","506526","506526","0","84880689424","84880689424","0","TimeStarved"
"Automatic-9_20000_seed7201.log","Automatic-9","20000","7201","0","0","0","0","0","0","825","825","0","509130","509130","0","83855016708","83855016708","0","TimeStarved"
"Automatic-9_20000_seed9109.log","Automatic-9","20000","9109","0","0","0","0","0","0","859","859","0","500244","500244","0","78802016547","78802016547","0","TimeStarved"
"Automatic-9_60000_seed11047.log","Automatic-9","60000","11047","0","0","0","0","0","0","855","855","0","489784","489784","0","71893948383","71893948383","0","TimeStarved"
"Automatic-9_60000_seed13003.log","Automatic-9","60000","13003","0","0","0","0","0","0","834","834","0","492074","492074","0","73722069501","73722069501","0","TimeStarved"
"Automatic-9_60000_seed1337.log","Automatic-9","60000","1337","0","0","0","0","0","0","859","859","0","492218","492218","0","78229389589","78229389589","0","TimeStarved"
"Automatic-9_60000_seed15427.log","Automatic-9","60000","15427","0","0","0","0","0","0","838","838","0","483661","483661","0","70135196731","70135196731","0","TimeStarved"
"Automatic-9_60000_seed4242.log","Automatic-9","60000","4242","0","0","0","0","0","0","878","878","0","495275","495275","0","76347034870","76347034870","0","TimeStarved"
"Automatic-9_60000_seed7201.log","Automatic-9","60000","7201","0","0","0","0","0","0","878","878","0","496374","496374","0","79067336251","79067336251","0","TimeStarved"
"Automatic-9_60000_seed9109.log","Automatic-9","60000","9109","0","0","0","0","0","0","847","847","0","491941","491941","0","74074874147","74074874147","0","TimeStarved"
